,textID,selected_text
1,9e38c183ad,really thinks wee callum should of got through last night
2,d1c010cd47,"once again another late night. but i scored a mojito, so..."
3,03c0b749b5,nooo i wanna watch the comet dont wanna go workk
4,99f4063cf1,i wish they had just bought it for me! never mind
5,9d605483af,mc john sim posit 3 yr passed no softees stranded without warren tea out tech spec kaching!!
6,adede39756,you look smashing darling is trent reznor really getting married i just want to rip out mariqueen ` s fake * * * * - _ -
7,9655b72897,its bout smoking weed
8,52c7993b04,it ` s official nobody is getting a raise this year
9,2ed155359e,thank you all for your incredible support and encouragement - it means so much!! you constantly bless
10,18910017a3,"josette.... where are you?? i looked across the pond, but you are nowhere to be found."
11,6f0f3669ee,special chocr makin rounds @ gourds show
12,67564814b3,miss
13,55644d8682,sanitized and all good.
14,ddc928067a,hello. new follower lang po. tweet to meet you.
15,ce4f7c4a1c,i love him! thanks
16,719f6bacc1,mm it was cold in your shadow anyway. ooh monday
17,63a5bb931c,i hate packing
18,54591b7521,lovely
19,9197df16e5,hate
20,33ea2ecd0c,i suppose i best get ready for work grrr
21,028d57dc98,aaaaw no! are the windows open and that?
22,20c9c1300d,happy
23,d2905a1a74,"raining in belfast too - and i promised myself i would clean my windows today. back to bed, then!"
24,2385a6b7ea,missing tim!
25,670b6eef13,happy mother ` s day
26,143d5c2a90,' no more sorrow '! by : linkin park....
27,0da29ca73f,sleep time big / little lunch tomorrow at olive garden
28,f8420ce323,broken
29,c29e6cf197,yep! tail between legs!
30,80666ae17f,everybody wake the * * * * up!!! * flicks on everyone ` s lights * it ` s 500 est rise and shine beetches!!
31,00f5814c6b,"just returned from huntsville. saw sam houston ` s grave, went to a prison museum and ate chocolate dipped strawberries"
32,b1c50991ba,i feel reeeally bad now.... sorry
33,539efa676d,_ moe well it is # stalkersaturday after all
34,eceafa1060,"thanks, i love"
35,bf5648f449,excited!
36,a30ac6968d,there ` s just no air
37,55885b8d56,i wish you have a good week
38,dcb8c622d6,"omg, someone just left me a voicemail at work ffs let me have a day off"
39,8a7ec25b1d,i ` m sick.
40,c099a82f08,deucie picked up by his sitter for the weekend.
41,9fdbbae837,"were perfect, the best day in my life"
42,743b62f788,little too much sun
43,b28d4dc555,love
44,e6d422171f,too bad
45,d852bd1a2f,broke my gorilla pod and i think one lego knight lost his helmet
46,3275252823,"getting ready to meet laura! than training, even if i ` m sick."
47,85d457e045,"re : swa & pets - good news for owners, bad news for people w / allergies who needed to fly for less $ $. sad for many i know."
48,33ad42350a,"happy mother ` s day,"
49,5fddcf4458,"hummmmm..... ohh i miss you so much!!! realy, but i hope you have a nice friends, like us : ]"
50,0a216e58ee,loves
51,426882d2a4,i love it.
52,82696f0c34,http : / / tinyurl. com / q3u32x isn ` t that the podcasting gear you got in for bit - tech?
53,0d63d7ce38,good
54,071d00752c,you are doing the right thing though. a fridge is where vegetables go to die
55,634ee9d286,proudly watching my film
56,78d1db2879,why you not go on the twitters no more? oh bais!
57,266e76dd91,i hate friday
58,bc63da3379,my apologies for the very impersonal # ff. swamped today all great people and great follows though. you can ` t go wrong with those folks!
59,66fbea38f0,"follow me please, so i can dm you..."
60,ba0779f4f8,meagan rochelle'the one u need'i would say'cater 2 u'by he didnt produce that.
61,269e7185cb,_ 44 thanks!! it was a bit out of my comfort zone but it was fun
62,ed5d8644c2,is at klaudine ` s. again...
63,d59345eded,happy
64,0c88d19f11,i think it ` s time to take a shower & get ready for the dayy. i hope we go shopping while we ` re in mason today. i want new clothes!!
65,f087e45bff,happy
66,57c7383b1e,just kidding! don ` t go around quoting me
67,b5939b4393,miss
68,ddc170fe0a,just found out my baby cousin is gonna be a dad!!!! at least he ` s married already. everybody is getting married and having kids before me
69,7a27f6ce72,posting this from blogspot
70,cf3f9bd354,still in the news room.. however ; with audio to turn around! just grabbed a tea. looking forward to after 1 when i get out in this rain
71,11639b3048,one of my fav songs
72,93acb731c3,cheers.
73,9e3108591c,my pleasure. i can ` t be with my mom on mother ` s day. but i can spread love.
74,fb5516fec0,"dammit,"
75,192373fed7,good attitude
76,efeb7a4614,whenever you are mama! let ` s do it
77,04795b9c4a,are over gonna miss them
78,121be04fda,mary hates me
79,52ca74468a,idiots.
80,4479e4f7aa,very much hopeful
81,8af75c49a4,ohh i would def give it 2 u but tht was kenyatta ` s cam not mine sry but i want tht pic 2
82,5b34fdd255,happy mother ` s day! justin timberlake ` s version a mother ` s day gift.. http : / / bit. ly / 6fgxd - - too funny!
83,56e0767069,"cool, not a big user of dm though"
84,efcb2921d5,freakin `
85,ef22d695fd,i ` m here if u need to vent!
86,7f3a3bc5d9,i think i might fall in love with jihoon in boys over flower
87,f33a2d10e2,thanks for the add i ` ll try again signing in later when i get home. if still no such luck then i ` ll email someone
88,0ac3ca6878,awesome... love
89,1b5f1316fa,waiting for landlord to come see about our shower
90,51b39d4447,fave
